,Darija,MSA
0,"هوما مخبّيين شي حاجة, أنا متيقّن!",إنهم يخفون شيئًا، أنا متأكد!
1,باينا هوما تايحاولو إبقاو مبرّدين.,من الواضح أنهم يحاولون الحفاظ على هدوئهم.
2,لوطيلات مابايناش فيهوم موريحين بزّاف.,الفنادق لا تبدو مريحة جدًا.
3,غاليبان غايجرّيو عليه من لخدما!,من المحتمل أن يتم تسريحه من قبل الإدارة العليا!
4,طابعان راه مكتاءب!,بالطبع هو مكتئب!
5,تايبالّيا غانمشي!,أعتقد أنني سأغادر!
6,أرا ليا داك ساك.,مد لي ذلك الحقيبة.
7,غانمرض!,سأمرض!
8,كنت ديما عارف أنّاها بغاتنا نموتو,لطالما علمت أنها تريدنا موتى
9,بغيت نعرف شحال بقا ليا تلوقت باش نقرا,أود أن أعرف كم من الوقت تبقى لي للدراسة
10,"غايكون عندنا متيحان, ألا هادشي اللي قصدتي",سنكون لدينا امتحان، إذا كان هذا ما تقصده
11,"السيمانا الجايا, نهار لخميس",الأسبوع القادم، يوم الخميس
12,غانغطّيو ڭاع لماواد تال تلات الجاي,سنغطي جميع المواد حتى يوم الثلاثاء القادم
13,إوا بدا لقرايا بكري!,فابدأ الدراسة قريبًا!
14,"واخا, ألا عندي أي أسإلا, واش نسيفتهوم ليك ف إمايل?",حسنًا، إذا كان لدي أي أسئلة، هل يمكنني إرسالها إليكم عبر البريد الإلكتروني؟
15,والاكين غانجاوب عليهوم فل أوقات ت لخدما,ولكن سأجيب عليهم فقط خلال ساعات العمل
16,إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا,فضلاً لا ترسلهم متأخراً مساء الأربعاء
17,"شوكران, أ لالّا",شكرًا لكِ سيدتي
18,أش كايعني هادشي?,ما المقصود من ذلك؟
19,كيفاش كتابك غايعاونّي نتهدّن,كيف سيساعدني كتابك على الهدوء
20,تانهضر علا مرّاكش,أنا أتحدث عن مراكش
21,بجوجنا تانخافو من الطاياران,نحن كلاً منا خائف من الطيران
22,أولّا!,أليس كذلك؟
23,أُ منيمتا بسّالاما النعاس كان كايعاون شي واهد?!,ومنذ متى كان النوم مفيدًا لأحد؟!
24,كنت عارفها!,كنت أعلم ذلك!
25,أ ربّي!,يا الله!
26,هادشي كولّو لغالاط ديالك,كله بسببك
27,و فحالات وقعات كسيدا أش خسّنا نديرو?,وفي حالة وقوع حوادث ماذا يفترض بنا أن نفعل؟
28,لاش جبتي معاك شجرا ل طيّارا?!,لماذا أحضرت شجرة إلى الطائرة؟!
29,واش نتي حمقا!,هل أنت مجنون!
30,تانقتارح أنّاك تسمع كتر أُ تهدر قلّ,أقترح عليك أن تستمع أكثر وتتكلم أقل
31,خسّني نمشي دابا,يجب أن أذهب الآن
32,أُ شحال هادا باش نتا مكلّف?,ومنذ متى وأنت المسؤول؟
33,"ڭلت ليك لكرافس, واش ماتاتسمعش",قلت كرفس، ألا تستطيع الاستماع؟
34,واخا نزيد شي بوعويد تاهوا?,هل يمكنني إضافة بعض الكمثرى أيضًا؟
35,"لايسخر, أنا معاك",حسنًا، أنا معك
36,وا راه عشر سنين هادي,لقد مضى عشر سنوات
37,أش بغيتي معاه?,ماذا تريد بها؟
38,عافاك واخا تسدّ شرجم معاك,من فضلك، هل يمكنك أن تغلق النافذة
39,وا هير تلقنا أُ باراكا من لهضرا,فقط اركب ولا تتكلم كثيرًا
40,واش ماتاتفكّرش?,ألا تعتقد؟
41,راه غاتجووّج سيمانا الجايّا.,ستتزوج الأسبوع القادم.
42,تجووّجو صغار بزّاف,تزوجا في سن مبكرة جدًا
43,هوا مجووّج ب موحاميا من طانجا,إنه متزوج من محامية في طنجة.
44,ماتڭولش,لا تقل
45,دابا كايدووّز بزّاف تلوقت فدّار,الآن يقضي الكثير من الوقت في المنزل
46,ألا كان هادشي اللي كاتقصد,إذا كان هذا ما تقصده
47,عاداتان غايتغلاو ويتحطّو معا لخلّ,تقليدياً، كان يتم سلقها وتقديمها مع الخل
48,ڭدّاش?,ما مدى كبره؟
49,واش كبير?,هل هو كبير؟
50,ماغانطيّبوش ماكلا طاليانيا,نحن لا نُعِد وجبة إيطالية
51,هادا غايكون طاباق مغريبي حورّ,سيكون هذا وجبة مغربية لائقة
52,"لباربا زوينا, والاكين تقدر تعطيك واحد لماداق حلو",البنجر جيد، ولكن قد يعطيك طعمًا حلوًا.
53,الطوال ب طابيعت لحال,الطويلة بالطبع
54,"بغيتي بطاطا فريت معاهوم, تاهيا?",هل تريد بطاطس مقلية معهم أيضًا؟
55,أُ أش بالّيك نمشيو ل سينما?,ما رأيك في الذهاب إلى السينما؟
56,ماعادا ألا عندك شي حاجة خرا بغيتي تزيدها,إلا إذا كان لديك أي شيء آخر تود إضافته
57,تبرّع ليا معا راسك!,استمتع!
58,ماتردّدش ترجع عندي,لا تتردد في العودة إليّ
59,دابا تايبالّيا عندي ڭاع داكشي اللي تانحتاج باش نحلّ هاد لموشكيل,الآن، أعتقد أنني حصلت على كل ما نحتاجه لحل هذه المشكلة
60,كنت غانقتارح هادشي تاهووا,كنت سأقترح ذلك أيضًا
61,خلّيني نڭولّيك واحد لحاجا,دعني أخبرك بشيء
62,بعد لمرّات تانضحكو بعد لمرّات تانبكيو,أحيانًا نضحك وأحيانًا نبكي
63,"غانڭولّيك واهد لحاجة, كاتعجبني!",سأخبرك بشيء واحد، أنا أحبه!
64,"وايه, غاندير هادشي تاهوا",نعم، سأفعل ذلك أيضًا.
65,هي قبل مانمشي النعسّ,قبل الذهاب إلى الفراش مباشرة
66,عافاك حتارم لقاواعيد,يرجى احترام القواعد
67,أنا متءكّد غاتحسّن قاريبان,أنا متأكد أن الأمور ستتحسن قريباً.
68,كيمّا قتارحتي,كما اقترحت
69,أساسان نتا تحت الضاغط دابا,في الأساس، أنت تحت ضغط الآن
70,هادشي تايوقع ل عاداد من الناس هاد ليامات,الذي يحدث للعديد من الناس في هذه الأيام
71,فنفس لوقت ماعندكش موشكيل فدماغك,في الوقت نفسه، ليس لديك مشكلة في دماغك
72,كيمّا كاتڭول,كما تقول
73,"أه, شوكران بزّاف علا الناصيحا ديالك.",نعم، شكراً جزيلاً على نصيحتك.
74,تانضنّ أنّا هادشي إقدر إكون حلّ,أعتقد أن ذلك يمكن أن يكون حلاً
75,أُلّا علّ أقالّ خطوا فل إتّيجاه الصاحيح,أو على الأقل خطوة في الاتجاه الصحيح
76,كانعتادر,أنا آسف
77,ماكانعرفوش عليهوم بزّاف,لا نعرف الكثير عنهم
78,واش كاينين موديرات خرين فنفس لموستاوا ديالها,هل يوجد مديرون آخرون على مستواها؟
79,واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا,هل تعرف أشخاصًا يمكنك التحدث معهم بسهولة؟
80,كانڭول أه,سأقول نعم
81,"واييه, بزّاف ديال الناس",آه نعم، هذا عدد كبير من الناس
82,حنا شي 50,نحن حوالي الخمسين.
83,كنّا شي عشرين واحد,كنا حوالي عشرين شخصًا
84,إمكن شي واهد فيهوم,ربما أحدهم
85,معقولا,أرى!
86,والاكين أنا ماعندي التا حاجا نحتافل بيها,ولكن ليس لدي ما أحتفل به
87,أنا راه غير واحد من لخدّاما,أنا مجرد موظف بين الآخرين
88,متّافق معاك,أنا أتفق معك
89,ألا كان شي واهد من لفرقا عندو شي حاجة مايڭول,إذا كان أحد أعضاء الفريق لديه شيء ليقوله
90,إمكن ليك تقتارحها ف وقيتّ لغدا,يمكنك أن تقترح ذلك في وقت الغداء
91,هادي طاريقا راإعا باش تحسّن لعالاقات تلخدما,هذه طريقة ممتازة لتحسين علاقات العمل
92,"والاكين هيا ماتاتشربش لقهوا, أُ ماتاتكميش, داكشي علاش كاتڭلس فل بيرو.",لكنها لا تشرب القهوة، ولا تدخن، لذا تبقى في مكتبها.
93,حشوما,إنه أمر مؤسف
94,"ألا عندنا ساباب معقول باش نهضرو معاها, هيا راه ديما مستاعدّا تهضر.",إذا كان لدينا سبب وجيه للحديث معها، فهي دائمًا مستعدة للحديث.
95,"حرفيّان, لباب ديالو مسدود",حرفيًا، بابه مُقفَل.
96,أش بالّيك?,ما رأيك؟
97,واحد أُلّا جوج منّكوم إقدر إناقش معاها هاد لمسألا,يمكن لواحد أو اثنين منكم أن يناقشا هذا الموقف معها
98,ماعندهاش تيقا كافيا فل فرقا,ليس لديها ثقة كافية بالفريق
99,"صافي, دابا نحاول الناقشها بلا مانعيّق",حسنًا، سأحاول مناقشته بسرية
100,تايبان ليك خسّ نشدّ عوطلا?,هل تعتقد أنني يجب أن آخذ إجازة؟
101,مومكين نقتارح عليك تهضر معا الناس اللي خدّامين معاك,هل يمكنني أن أقترح عليك التحدث إلى زملائك
102,أش غاندير?,ماذا أفعل؟
103,هادشي عادي و التا حاجة ماكاتقلّق,هذا أمر شائع جدًا ولا يوجد ما يدعو للقلق.
104,الضاغط بلفيعل ءتّر علا لحالا لعاطيفيا لعامّا ديالك,لقد أثر الضغط بالفعل على حالتك العاطفية العامة
105,"صافي, فهمتك.",حسنًا، أفهم ذلك.
106,"أه, غاليبان",نعم، على الأرجح.
