,Darija,MSA
0,"في شراكة بين ""مصلحة المتنزهات الوطنية والحياة البرية"" و ""جمعية الرماة الرياضيين في أستراليا""، تختارو متطوعين مؤهلين في إطار برنامج الصيد اللي تابع للجمعية.",في شراكة بين NPWS وجمعية الرماة الرياضية في أستراليا ، تم تجنيد متطوعين مؤهلين ، في إطار برنامج الصيد لجمعية الرماة الرياضية.
1,السومعا ديالك ماغاديش التحسّن.,سمعتك لن تتحسن.
2,لعملة نتاع فالاكلاند هي لجنيه الفلاكلاندي (FKP) اللي لقيمة نتاعو قريبة لديال الجنيه دبريطانيا (GBP).,العملة الرسمية في جزر فوكلاند هي جنيه فوكلاند (FKP) ، والتي تعادل قيمتها جنيه إسترليني واحد.
3,لباراليمبيك غاتشد من 24 غشت تال 5 سبتمبر 2021. شي تضاهرات غاتكون فبلايص أخرين فليابان.,ستقام الألعاب البارالمبية من 24 أغسطس إلى 5 سبتمبر 2021 ، وسيتم عقد بعض الأحداث في مواقع أخرى في جميع أنحاء اليابان.
4,من ديما وانا كايعجبوني سنانك,لطالما أعجبت بأسنانك 
5,أه فهمت دابا!,آه، أنا أفهم الآن!
6,عيب واحد آخر في عدسات الزوم وهو أن الفتحة التالية (السرعة) ديال العدسة غالبا ما كتكون أقل.,عيب آخر في عدسات التكبير هو أن الحد الأقصى من الفتحة (السرعة) للعدسة عادة ما تكون أقل.
7,رفاضتها,رفضته
8,"شي أحجار اللي قلالين فالأرض كيتباعو مابين 11,000 تال 22,500 دولار للأونصة الواحدة، وهدا غلا بعشرة دلمرات من ثمن الذهب.",وتباع بعض الصخور، النادرة جداً على الأرض، من 11 ألف دولار أمريكي إلى 22 ألف دولار أمريكي للأونصة، وهو ما يعادل عشرة أضعاف سعر الذهب.
9,واحد من أغنياء العالم، ألان استثمر الثروة ديالو فالاستكشاف البحري وبدا البحث ديالو باش يلقى موساشي بعيد على الاهتمام بحياة الحرب.,أحد أغنى الناس في العالم ، أفادت التقارير أن ألين استثمر الكثير من ثروته في الاستكشاف البحري وبدأ سعيه للعثور على موساشي من اهتمام مدى الحياة بالحرب.
